Country,Category,Description,Units,Year,Month,Quantity,Value,M2
British Virgin Isls.,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,27,900,27
British Virgin Isls.,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,4,1220,4
British Virgin Isls.,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,25,480,25
British Virgin Isls.,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,197,1425,197
Brunei,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,14742,103619,14742
Brunei,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,47496,280279,47496
Brunei,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,37627,259431,37627
Brunei,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,55740,302415,55740
Brunei,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,30412,179676,30412
Brunei,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,7241,36001,7241
Bulgaria,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,390328,5732604,390328
Bulgaria,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,460545,6333383,460545
Bulgaria,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,423568,6950997,423568
Bulgaria,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,416857,6965773,416857
Bulgaria,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,507158,4988822,507158
Bulgaria,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,430481,5461532,430481
Burkina Faso,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,101,300,101
Burkina Faso,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,161,300,161
Burma (Myanmar),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,10598165,21161556,10598165
Burma (Myanmar),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,6434693,12993190,6434693
Burma (Myanmar),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,10469792,18854115,10469792
Burma (Myanmar),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,7407337,14033135,7407337
Burma (Myanmar),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,8177875,15941296,8177875
Burma (Myanmar),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,5594090,11883279,5594090
Burundi,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,1149,512,1149
Cabo Verde,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,2460,31551,2460
Cabo Verde,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,1331,49334,1331
Cabo Verde,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,1305,1048,1305
Cambodia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,130180952,405257937,130180952
